GWIAZDA	jd	mag	idobs	kom
X CYG	2453351.2188	6	ZSI	
V568 CYG	2453351.2195	6.4	ZSI	
Y CYG	2453351.2215	7.6	ZSI	
GO CYG	2453351.2222	8.6	ZSI	
V367 CYG	2453351.2229	7.3	ZSI	
EE PEG	2453351.2465	7.1	ZSI	
TV PSC	2453351.2479	5.3	ZSI	
R PEG	2453351.2965	7.9	ZSI	
TX PSC	2453351.2972	5.5	ZSI	
RZ CAS	2453351.2979	6.3	ZSI	
SU CAS	2453351.2986	5.9	ZSI	
TV CAS	2453351.2993	7.3	ZSI	
U PER	2453351.3063	8.1	ZSI	
R TAU	2453351.3111	8.7	ZSI	
BU TAU	2453351.3118	5.1	ZSI	
OMI CET	2453351.3132	8.9	ZSI	
U ORI	2453351.3167	8.7	ZSI	
RX AUR	2453351.3201	7.3	ZSI	
X PER	2453351.3215	6.1	ZSI	
RZ ARI	2453351.3236	6	ZSI	
ETA GEM	2453351.3271	3.2	ZSI	
ZETA GEM	2453351.3278	3.7	ZSI	
BU GEM	2453351.3292	6.6	ZSI	
EG AND	2453351.3299	7.5	ZSI	
R GEM	2453351.3347	7	ZSI	
NQ GEM	2453351.3382	8.2	ZSI	
ALPHA ORI	2453351.3590	0.4	ZSI	
S EQU	2453351.4854	8	ZSI	
BETA PER	2453354.1882	2	ZSI	
BETA LYR	2453354.1889	3.6	ZSI	
Z VUL	2453354.1910	7.3	ZSI	
S SGE	2453354.1917	5.9	ZSI	
U VUL	2453354.1924	7.5	ZSI	
RS VUL	2453354.1938	6.8	ZSI	
S EQU	2453354.1944	8	ZSI	
RR LYR	2453354.1951	7.9	ZSI	
X VUL	2453354.1986	9.1	ZSI	
T VUL	2453354.2014	5.8	ZSI	
X CYG	2453354.2021	6.2	ZSI	
V568 CYG	2453354.2035	6.5	ZSI	
Y CYG	2453354.2042	7.2	ZSI	
GO CYG	2453354.2056	8.7	ZSI	
V367 CYG	2453354.2063	7	ZSI	
RS CYG	2453354.2097	8.8	ZSI	
P CYG	2453354.2104	4.9	ZSI	
DELTA CEP	2453354.2146	4.2	ZSI	
AI DRA	2453354.2153	7.1	ZSI	
T CEP	2453354.2188	7.6	ZSI	
EE PEG	2453354.2215	6.9	ZSI	
AG PEG	2453354.2222	8.1	ZSI	
RX AUR	2453354.2417	7.9	ZSI	
BETA LYR	2453356.2146	3.8	ZSI	
BETA PER	2453356.2153	2.1	ZSI	
X CYG	2453356.2174	6.5	ZSI	
GO CYG	2453356.2181	8.5	ZSI	
V367 CYG	2453356.2188	7.3	ZSI	
Y CYG	2453356.2194	7.1	ZSI	
CH CYG	2453356.2222	8.2	ZSI	
RT CYG	2453356.2236	7.7	ZSI	
AF CYG	2453356.2243	7	ZSI	
BETA LYR	2453379.1646	3.6	ZSI	
R LYR	2453379.1660	4.6	ZSI	
AF CYG	2453379.1694	7.3	ZSI	
X CYG	2453379.1715	6.7	ZSI	
V568 CYG	2453379.1722	6.6	ZSI	
GO CYG	2453379.1736	8.5	ZSI	
Y CYG	2453379.1743	7.1	ZSI	
V367 CYG	2453379.1771	7.2	ZSI	
RR LYR	2453379.1778	7.9	ZSI	
T VUL	2453379.1806	5.4	ZSI	
V VUL	2453379.1806	8.4	ZSI	
W CYG	2453379.1819	6.4	ZSI	
V1339 CYG	2453379.1826	6.4	ZSI	
RT CYG	2453379.1861	8.6	ZSI	
CH CYG	2453379.1882	8.2	ZSI	
P CYG	2453379.1903	4.8	ZSI	
R PEG	2453379.1972	9.1	ZSI	
TX PSC	2453379.2000	5.5	ZSI	
BETA PER	2453379.2007	2	ZSI	
BU TAU	2453379.2028	5.2	ZSI	
X PER	2453379.2042	6.1	ZSI	
OMI CET	2453379.2069	9.1	ZSI	
RZ ARI	2453379.2097	5.8	ZSI	
EG AND	2453379.2104	7.4	ZSI	
R TAU	2453379.2354	9	ZSI	
U ORI	2453379.2368	6.9	ZSI	
RZ CAS	2453379.2375	6.3	ZSI	
SU CAS	2453379.2382	6.2	ZSI	
TU CAS	2453379.2389	7.7	ZSI	
TV CAS	2453379.2396	7.3	ZSI	
RHO CAS	2453379.2417	4.9	ZSI	
DELTA CEP	2453379.2424	4.1	ZSI	
TV PSC	2453379.2458	5.1	ZSI	
ZETA AUR	2453379.2465	3.7	ZSI	
RX AUR	2453379.2500	8	ZSI	
BU GEM	2453379.2569	6.5	ZSI	
NQ GEM	2453379.2604	8.6	ZSI	
VV ORI	2453379.2632	5.7	ZSI	
KX ORI	2453379.2646	7.5	ZSI	
CK ORI	2453379.2674	6.6	ZSI	
R GEM	2453379.2708	7.4	ZSI	
YY ERI	2453379.2799	8.6	ZSI	
RT AUR	2453379.2861	5.2	ZSI	
WW AUR	2453379.2868	6	ZSI	
VY UMA	2453379.2917	6.6	ZSI	
Z UMA	2453379.2951	8	ZSI	
ETA GEM	2453379.2993	3.2	ZSI	
ZETA GEM	2453379.3000	3.6	ZSI	
YY ERI	2453379.3007	8.5	ZSI	
AX MON	2453379.3056	6.6	ZSI	
T MON	2453379.3063	5.9	ZSI	
V MON	2453379.3160	9.2	ZSI	
V505 MON	2453379.3194	7.3	ZSI	
RS CET	2453379.3208	8.3	ZSI	
YY ERI	2453379.3222	8.3	ZSI	
U MON	2453379.3264	6.3	ZSI	
X MON	2453379.3285	8.1	ZSI	
V523 MON	2453379.3292	6.9	ZSI	
X CYG	2453380.1750	6.7	ZSI	
GO CYG	2453380.1757	8.4	ZSI	
Y CYG	2453380.1764	7.1	ZSI	
V367 CYG	2453380.1778	7.1	ZSI	
T VUL	2453380.1799	5.1	ZSI	
EE PEG	2453380.1806	6.9	ZSI	
RZ CAS	2453380.1819	6.4	ZSI	
SU CAS	2453380.1826	6.3	ZSI	
TU CAS	2453380.1833	7.9	ZSI	
TV CAS	2453380.1840	7.3	ZSI	
AI DRA	2453380.1860	7.1	ZSI	
RR LYR	2453380.1861	7.8	ZSI	
BETA PER	2453380.1868	2.1	ZSI	
DELTA CEP	2453380.1875	4	ZSI	
WW AUR	2453380.1917	5.4	ZSI	
RT AUR	2453380.1924	5.4	ZSI	
YY ERI	2453380.2674	8.5	ZSI	
BETA PER	2453408.2201	2.1	ZSI	
YY ERI	2453408.2208	8.6	ZSI	
YY ERI	2453408.2569	8.4	ZSI	
CK ORI	2453408.2597	6.7	ZSI	
VV ORI	2453408.2604	5.5	ZSI	
KX ORI	2453408.2611	7.4	ZSI	
T MON	2453408.2660	5.8	ZSI	
AX MON	2453408.2667	6.6	ZSI	
BU TAU	2453408.2681	5.1	ZSI	
EG AND	2453408.2688	7.4	ZSI	
ALPHA ORI	2453408.2708	0.4	ZSI	
ETA GEM	2453408.2715	3.1	ZSI	
ZETA GEM	2453408.2722	3.7	ZSI	
RHO PER	2453408.2750	3.6	ZSI	
YY ERI	2453408.2764	8.3	ZSI	
YY ERI	2453408.3097	8.2	ZSI	
RHO CAS	2453408.3104	4.9	ZSI	
GAMMA CAS	2453408.3111	2.3	ZSI	
KQ PUP	2453408.3681	5.1	ZSI	
Z PUP	2453408.3736	8.4	ZSI	
YY ERI	2453409.2271	8.2	ZSI	
W GEM	2453409.2313	6.8	ZSI	
R GEM	2453409.2375	8.2	ZSI	
U ORI	2453409.2417	7.3	ZSI	
VV ORI	2453409.2444	5.6	ZSI	
BU GEM	2453409.2451	6.7	ZSI	
T MON	2453409.2493	5.8	ZSI	
V505 MON	2453409.2507	7.4	ZSI	
YY ERI	2453409.2521	8.1	ZSI	
YY ERI	2453409.2757	8.3	ZSI	
BETA PER	2453409.2764	2.1	ZSI	
EPS AUR	2453409.2792	3.1	ZSI	
ZETA AUR	2453409.2799	3.3	ZSI	
T MON	2453415.3611	6.2	ZSI	
AX MON	2453415.3618	6.7	ZSI	
X MON	2453415.3632	9.2	ZSI	
V523 MON	2453415.3639	6.9	ZSI	
R LEO	2453415.3681	9.4	ZSI	
YY ERI	2453432.2285	8.5	ZSI	
BETA PER	2453432.2292	2.2	ZSI	
GAMMA CAS	2453432.2299	2.1	ZSI	
BU TAU	2453432.2326	5.2	ZSI	
CK ORI	2453432.2333	6.6	ZSI	
KX ORI	2453432.2340	7.4	ZSI	
BU GEM	2453432.2361	6.7	ZSI	
W GEM	2453432.2368	6.8	ZSI	
R LEO	2453432.2507	9.1	ZSI	
RHO PER	2453432.2521	3.8	ZSI	
ETA GEM	2453432.2528	3	ZSI	
ZETA GEM	2453432.2535	4	ZSI	
YY ERI	2453432.2549	8.3	ZSI	
R CMA	2453432.2910	5.8	ZSI	
T MON	2453432.2972	6.1	ZSI	
AX MON	2453432.2979	6.7	ZSI	
V505 MON	2453432.3028	7.2	ZSI	
V635 MON	2453432.3042	7.3	ZSI	
UX MON	2453432.3049	8.3	ZSI	
KQ PUP	2453432.3063	4.9	ZSI	
FW CMA	2453432.3076	5	ZSI	
TY PUP	2453432.3139	8.8	ZSI	
X PUP	2453432.3153	9.1	ZSI	
YY ERI	2453433.2438	8.4	ZSI	
W GEM	2453433.2472	7	ZSI	
T MON	2453433.2493	6.2	ZSI	
BETA PER	2453433.2514	2.1	ZSI	
ZETA GEM	2453433.2521	4.2	ZSI	
RZ CAS	2453433.2535	6.3	ZSI	
SU CAS	2453433.2542	6.1	ZSI	
U MON	2453433.2590	6.6	ZSI	
RY MON	2453433.2604	8.6	ZSI	
V523 MON	2453433.2653	7.3	ZSI	
YY ERI	2453433.2674	8.5	ZSI	
W CMA	2453433.2701	7.1	ZSI	
R CMA	2453433.2708	5.6	ZSI	
Z UMA	2453433.2757	7.8	ZSI	
V635 MON	2453433.2785	7.5	ZSI	
UX MON	2453433.2792	8.6	ZSI	
ALPHA ORI	2453433.2799	0.5	ZSI	
BETA PER	2453442.3132	2.1	ZSI	
LAMBDA TAU	2453442.3153	3.6	ZSI	
EPS AUR	2453442.3160	3	ZSI	
ZETA AUR	2453442.3167	3.7	ZSI	
ETA GEM	2453442.3174	3	ZSI	
ZETA GEM	2453442.3181	3.6	ZSI	
R LEO	2453442.3194	9	ZSI	
VV ORI	2453442.3201	5.6	ZSI	
BU TAU	2453442.3208	5.1	ZSI	
CK ORI	2453457.2576	6.6	ZSI	
VV ORI	2453457.2583	5.5	ZSI	
KX ORI	2453457.2590	7.4	ZSI	
R CMA	2453457.2618	5.7	ZSI	
V635 MON	2453457.2625	7.4	ZSI	
KQ PUP	2453457.2674	5	ZSI	
FW CMA	2453457.2681	5	ZSI	
V523 MON	2453457.2688	7.5	ZSI	
X MON	2453457.2695	8.5	ZSI	
ETA GEM	2453457.2736	3.1	ZSI	
ZETA GEM	2453457.2743	3.5	ZSI	
BETA PER	2453457.2757	2	ZSI	
BU TAU	2453457.2764	5.2	ZSI	
W GEM	2453457.2792	7	ZSI	
BU GEM	2453457.2799	6.7	ZSI	
U MON	2453457.2833	6.4	ZSI	
W CMA	2453457.2840	7.2	ZSI	
T MON	2453457.2875	6.6	ZSI	
AX MON	2453457.2882	6.5	ZSI	
S CMI	2453457.2896	8.7	ZSI	
R LEO	2453457.2958	8.7	ZSI	
RS CNC	2453457.3007	6.5	ZSI	
RT AUR	2453457.3035	5.3	ZSI	
WW AUR	2453457.3042	5.6	ZSI	
ZETA AUR	2453457.3069	3.7	ZSI	
W BOO	2453457.3125	5.2	ZSI	
VV ORI	2453459.2611	5.4	ZSI	
R CMA	2453459.2625	5.8	ZSI	
BETA PER	2453459.2632	2.1	ZSI	
GAMMA CAS	2453459.2639	2.2	ZSI	
RZ CAS	2453459.2660	6.3	ZSI	
SU CAS	2453459.2667	6.2	ZSI	
TV CAS	2453459.2681	7.3	ZSI	
X PER	2453459.2701	6	ZSI	
T MON	2453459.2715	6	ZSI	
U ORI	2453459.2729	8.7	ZSI	
TY PUP	2453459.2840	8.5	ZSI	
X PUP	2453459.2854	9	ZSI	
V505 MON	2453459.2861	7.1	ZSI	
V635 MON	2453459.2868	7.3	ZSI	
UX MON	2453459.2875	8.4	ZSI	
DELTA CEP	2453459.2951	3.9	ZSI	
ZETA GEM	2453459.2979	3.6	ZSI	
Z UMA	2453459.3069	6.6	ZSI	
S UMA	2453459.3090	8.6	ZSI	
RY UMA	2453459.3104	7.1	ZSI	
RT AUR	2453459.3111	5.8	ZSI	
WW AUR	2453459.3118	5.6	ZSI	
EPS AUR	2453459.3229	3	ZSI	
R CRB	2453459.3250	6.1	ZSI	
T MON	2453460.2743	5.8	ZSI	
V505 MON	2453460.2750	7.1	ZSI	
V635 MON	2453460.2757	7.4	ZSI	
UX MON	2453460.2764	8.5	ZSI	
TY PUP	2453460.2785	8.7	ZSI	
X PUP	2453460.2806	9	ZSI	
V523 MON	2453460.2840	7.4	ZSI	
X MON	2453460.2847	8.4	ZSI	
TV CAS	2453460.2868	7.3	ZSI	
RZ CAS	2453460.2875	6.4	ZSI	
SU CAS	2453460.2882	6.2	ZSI	
ETA GEM	2453460.2917	3.1	ZSI	
ZETA GEM	2453460.2924	3.7	ZSI	
DELTA CEP	2453460.2944	4.1	ZSI	
Z LAC	2453460.2965	8.6	ZSI	
RX AUR	2453460.3028	7.9	ZSI	
BETA PER	2453461.2708	2	ZSI	
ZETA GEM	2453461.2715	4	ZSI	
R CMA	2453461.2722	5.8	ZSI	
V635 MON	2453461.2729	7.4	ZSI	
UX MON	2453461.2736	8.4	ZSI	
T MON	2453461.2743	5.7	ZSI	
V505 MON	2453461.2750	7.2	ZSI	
RZ CAS	2453461.2757	6.3	ZSI	
SU CAS	2453461.2764	6.3	ZSI	
TV CAS	2453461.2771	7.3	ZSI	
TY PUP	2453461.2792	8.4	ZSI	
W GEM	2453461.2806	6.8	ZSI	
DELTA CEP	2453461.2833	4	ZSI	
RY MON	2453461.2875	8.9	ZSI	
RV MON	2453461.2889	8.4	ZSI	
S CMI	2453461.2917	8.5	ZSI	
RX AUR	2453461.2951	8	ZSI	
RT AUR	2453461.2965	5.2	ZSI	
WW AUR	2453461.2972	6.1	ZSI	
R LEO	2453461.2979	8.7	ZSI	
U HYA	2453461.3069	5.4	ZSI	
RHO CAS	2453461.3097	4.7	ZSI	
VV ORI	2453463.2674	5.3	ZSI	
KQ PUP	2453463.2681	5	ZSI	
FW CMA	2453463.2688	5.1	ZSI	
R CMA	2453463.2694	5.9	ZSI	
BU GEM	2453463.2701	6.5	ZSI	
W GEM	2453463.2708	6.9	ZSI	
V635 MON	2453463.2715	7.3	ZSI	
BU TAU	2453463.2722	5.2	ZSI	
BETA PER	2453463.2729	2	ZSI	
RHO PER	2453463.2736	3.6	ZSI	
X PER	2453463.2743	6.1	ZSI	
RZ CAS	2453463.2750	6.4	ZSI	
SU CAS	2453463.2757	6.2	ZSI	
TV CAS	2453463.2764	7.4	ZSI	
U MON	2453463.2778	6.6	ZSI	
W CMA	2453463.2785	7.3	ZSI	
T MON	2453463.2799	5.8	ZSI	
AX MON	2453463.2806	6.6	ZSI	
V505 MON	2453463.2813	7.5	ZSI	
NQ GEM	2453463.2833	8.3	ZSI	
U ORI	2453463.2861	8.9	ZSI	
RX AUR	2453463.2875	8	ZSI	
Z UMA	2453463.2917	6.7	ZSI	
S UMA	2453463.2924	8.4	ZSI	
DELTA CEP	2453463.2938	3.5	ZSI	
ZETA GEM	2453463.2958	4.2	ZSI	
RT AUR	2453463.2972	5.6	ZSI	
WW AUR	2453463.2979	5.8	ZSI	
RS CNC	2453463.3049	6.5	ZSI	
VY UMA	2453463.3069	6.7	ZSI	
R UMA	2453463.3090	7.9	ZSI	
R VIR	2453463.3146	7.3	ZSI	
U CRB	2453463.3333	7.6	ZSI	
R CRB	2453463.3340	6	ZSI	
CN VIR	2453463.3354	8.3	ZSI	
RT VIR	2453463.3368	8.4	ZSI	
VV ORI	2453465.2646	5.6	ZSI	
CK ORI	2453465.2653	6.6	ZSI	
R CMA	2453465.2660	5.7	ZSI	
W UMA	2453465.2764	7.5	ZSI	
TY PUP	2453465.2778	8.8	ZSI	
V635 MON	2453465.2785	7.4	ZSI	
UX MON	2453465.2792	8.5	ZSI	
ETA GEM	2453465.2799	3.1	ZSI	
ZETA GEM	2453465.2806	3.6	ZSI	
BETA PER	2453465.2813	2	ZSI	
TV CAS	2453465.2819	7.3	ZSI	
RZ CAS	2453465.2826	6.3	ZSI	
SU CAS	2453465.2833	6.1	ZSI	
X MON	2453465.2847	8.3	ZSI	
V523 MON	2453465.2854	7.5	ZSI	
T MON	2453465.2861	6	ZSI	
ALPHA ORI	2453465.2868	0.6	ZSI	
W GEM	2453465.2875	7.1	ZSI	
V505 MON	2453465.2889	7.4	ZSI	
RX AUR	2453465.2910	7.5	ZSI	
DELTA CEP	2453465.2917	4	ZSI	
R LEO	2453465.2931	8.5	ZSI	
S CMI	2453465.2944	8.3	ZSI	
RT AUR	2453465.2993	5.2	ZSI	
WW AUR	2453465.3000	5.7	ZSI	
KW HYA	2453465.3028	6.1	ZSI	
T HYA	2453465.3028	7.8	ZSI	
U HYA	2453465.3125	5.3	ZSI	
W BOO	2453465.3229	5.1	ZSI	
U CRB	2453465.3236	7.7	ZSI	
R CRB	2453465.3243	6	ZSI	
R CRB	2453490.3861	6	ZSI	
ZZ BOO	2453490.3875	6.8	ZSI	
R VIR	2453490.3896	7.8	ZSI	
U CRB	2453490.3903	7.8	ZSI	
R HYA	2453490.3938	8	ZSI	
T CEN	2453490.3958	6.4	ZSI	
W BOO	2453490.3965	5.1	ZSI	
V CRB	2453490.3993	8.8	ZSI	
TAU4 SER	2453490.4021	6.9	ZSI	
S CMI	2453491.3083	7.8	ZSI	
R LEO	2453491.3097	7.1	ZSI	
T HYA	2453491.3125	7.9	ZSI	
KW HYA	2453491.3132	6.1	ZSI	
U HYA	2453491.3167	5.5	ZSI	
RS CNC	2453491.3188	6.2	ZSI	
Z UMA	2453491.3229	7.8	ZSI	
ST UMA	2453491.3257	6.8	ZSI	
BR CVN	2453491.3278	7	ZSI	
V CVN	2453491.3285	7.3	ZSI	
Y CVN	2453491.3299	5.7	ZSI	
R CVN	2453491.3306	8.5	ZSI	
TU CVN	2453491.3319	6.1	ZSI	
R UMA	2453491.3326	9	ZSI	
VY UMA	2453491.3333	6.6	ZSI	
ZZ BOO	2453491.3340	6.8	ZSI	
R CRB	2453491.3361	5.9	ZSI	
X HER	2453491.3368	6.8	ZSI	
G HER	2453491.3375	5.2	ZSI	
RR CRB	2453491.3410	8	ZSI	
AI DRA	2453491.3417	7.1	ZSI	
BETA LYR	2453491.3500	3.4	ZSI	
R LYR	2453491.3507	4.4	ZSI	
ZZ BOO	2453492.3500	6.8	ZSI	
R CRB	2453492.3514	6	ZSI	
R BOO	2453492.3528	7.6	ZSI	
U CRB	2453492.3535	7.6	ZSI	
CN VIR	2453492.3556	8	ZSI	
RT VIR	2453492.3569	8.8	ZSI	
R LEO	2453498.3208	7	ZSI	
RS CNC	2453498.3215	6.2	ZSI	
U HYA	2453498.3229	5.5	ZSI	
R VIR	2453498.3257	8.5	ZSI	
CN VIR	2453498.3278	8.6	ZSI	
CO VIR	2453498.3299	9.2	ZSI	
RT VIR	2453498.3306	8.7	ZSI	
ZZ BOO	2453498.3333	6.7	ZSI	
W BOO	2453498.3340	5.3	ZSI	
R BOO	2453498.3347	8.2	ZSI	
R CRB	2453498.3382	5.9	ZSI	
V CRB	2453498.3396	9	ZSI	
VY UMA	2453498.3472	6.5	ZSI	
Z UMA	2453498.3486	8.4	ZSI	
U CRB	2453498.3514	7.7	ZSI	
TAU4 SER	2453498.3528	6.8	ZSI	
X HER	2453498.3583	6.8	ZSI	
G HER	2453498.3597	5.3	ZSI	
DELTA LIB	2453498.3632	4.8	ZSI	
AI DRA	2453498.3639	7.2	ZSI	
BETA LYR	2453498.3646	3.5	ZSI	
R LYR	2453498.3660	4.3	ZSI	
AF CYG	2453498.3708	7.2	ZSI	
CH CYG	2453498.3715	8	ZSI	
CHI CYG	2453498.3743	8.3	ZSI	
P CYG	2453498.3750	4.8	ZSI	
RS CYG	2453498.3764	8.3	ZSI	
V449 CYG	2453498.3792	8	ZSI	
TT CYG	2453498.3806	7.9	ZSI	
RT CYG	2453498.3854	8.7	ZSI	
RZ CAS	2453498.3868	6.3	ZSI	
SU CAS	2453498.3875	6.1	ZSI	
R LEO	2453517.3431	6.7	ZSI	
R CRB	2453517.3438	5.9	ZSI	
ZZ BOO	2453517.3444	6.9	ZSI	
U CRB	2453517.3458	7.7	ZSI	
AI DRA	2453517.3465	7.1	ZSI	
R LYR	2453517.3472	4.3	ZSI	
X HER	2453517.3479	6.5	ZSI	
RR CRB	2453517.3486	8.2	ZSI	
G HER	2453517.3493	5.3	ZSI	
R BOO	2453517.3549	9.3	ZSI	
V BOO	2453517.3556	8.9	ZSI	
CN VIR	2453517.3597	8.6	ZSI	
CO VIR	2453517.3604	9.3	ZSI	
BETA LYR	2453517.3618	3.4	ZSI	
W BOO	2453517.3625	5.2	ZSI	
T HER	2453517.3653	8.3	ZSI	
AC HER	2453517.3667	7.5	ZSI	
ALPHA HER	2453517.3729	3.3	ZSI	
CHI CYG	2453517.3792	6.1	ZSI	
V449 CYG	2453517.3799	7.3	ZSI	
TT CYG	2453517.3813	8.1	ZSI	
AF CYG	2453517.3833	7	ZSI	
CH CYG	2453517.3861	8.1	ZSI	
R CYG	2453517.3875	9	ZSI	
P CYG	2453517.3889	4.8	ZSI	
RS CYG	2453517.3910	7.9	ZSI	
RT CYG	2453517.3938	7.4	ZSI	
W CYG	2453517.3972	6.1	ZSI	
V1339 CYG	2453517.3979	6.7	ZSI	
X CYG	2453517.3993	6.3	ZSI	
V568 CYG	2453517.4000	6.6	ZSI	
Y CYG	2453517.4028	7.6	ZSI	
V367 CYG	2453517.4035	7.3	ZSI	
GO CYG	2453517.4042	8.5	ZSI	
T VUL	2453517.4063	5.5	ZSI	
V VUL	2453517.4076	8.6	ZSI	
R VUL	2453517.4132	8.8	ZSI	
DY VUL	2453517.4139	7.7	ZSI	
NSV 13475	2453517.4146	7	ZSI	
X SGE	2453517.4174	8.5	ZSI	
U VUL	2453517.4181	7.5	ZSI	
RS VUL	2453517.4188	7.6	ZSI	
Z VUL	2453517.4194	7.4	ZSI	
S SGE	2453517.4201	5.6	ZSI	
U DEL	2453517.4215	6.9	ZSI	
EU DEL	2453517.4222	6.3	ZSI	
DM DEL	2453517.4243	8.6	ZSI	
Z LAC	2453517.4271	8.5	ZSI	
X LAC	2453517.4278	8.2	ZSI	
V LAC	2453517.4285	9	ZSI	
DELTA CEP	2453517.4292	3.9	ZSI	
SS CYG	2453517.4319	9.4	ZSI	
R SCT	2453517.4347	7.5	ZSI	
R CRB	2453518.3438	6	ZSI	
ZZ BOO	2453518.3445	6.8	ZSI	
AI DRA	2453518.3458	7	ZSI	
RR LYR	2453518.3465	8	ZSI	
U CRB	2453518.3486	7.7	ZSI	
R CRB	2453520.3458	6	ZSI	
ZZ BOO	2453520.3465	6.8	ZSI	
U CRB	2453520.3472	7.6	ZSI	
AI DRA	2453520.3486	7.1	ZSI	
T LYR	2453520.3549	9.1	ZSI	
RR LYR	2453520.3646	7.6	ZSI	
BETA LYR	2453520.3653	3.9	ZSI	
GO CYG	2453520.3715	8.8	ZSI	
X CYG	2453520.3757	6.6	ZSI	
Y CYG	2453520.3771	7.3	ZSI	
CHI CYG	2453520.3778	6	ZSI	
Z VUL	2453520.3785	7.3	ZSI	
Z UMA	2453520.3847	8.2	ZSI	
VY UMA	2453520.3868	6.5	ZSI	
RY UMA	2453520.3917	7.6	ZSI	
ST UMA	2453520.3931	7.2	ZSI	
V CVN	2453520.3972	7.8	ZSI	
TU CVN	2453520.3986	6.1	ZSI	
Y CVN	2453520.3993	5.7	ZSI	
GO CYG	2453520.4007	8.9	ZSI	
Y CYG	2453520.4014	7.6	ZSI	
RS VUL	2453520.4028	6.9	ZSI	
U VUL	2453520.4035	7.6	ZSI	
X VUL	2453520.4090	9.2	ZSI	
T VUL	2453520.4104	6	ZSI	
NSV 25832	2453520.4125	8.8	ZSI	
Z LAC	2453520.4160	8.8	ZSI	
X LAC	2453520.4167	8.6	ZSI	
V LAC	2453520.4174	9.2	ZSI	
RR LYR	2453520.4229	7.3	ZSI	
GO CYG	2453520.4250	8.9	ZSI	
AF CYG	2453520.4278	7.1	ZSI	
CH CYG	2453520.4285	8	ZSI	
DM DEL	2453520.4340	8.7	ZSI	
V1070 CYG	2453520.4403	7.6	ZSI	
Y OPH	2453520.4514	6	ZSI	
RR LYR	2453520.4528	7.1	ZSI	
GO CYG	2453520.4542	8.7	ZSI	
Y CYG	2453520.4549	7.6	ZSI	
S EQU	2453520.4632	8.3	ZSI	
RT CYG	2453520.4681	7.3	ZSI	
V367 CYG	2453520.4694	7.3	ZSI	
T CEP	2453520.4771	9.4	ZSI	
S CEP	2453520.4785	8.4	ZSI	
XZ CEP	2453520.4806	8.8	ZSI	
VV CEP	2453520.4819	5.4	ZSI	
MIU CEP	2453520.4833	4.2	ZSI	
GO CYG	2453520.4847	8.6	ZSI	
U CEP	2453520.4896	7	ZSI	
V CEP	2453520.4910	6.7	ZSI	
R SCT	2453520.4917	7.3	ZSI	
S SCT	2453520.4951	7.3	ZSI	
ETA AQL	2453520.4965	3.9	ZSI	
RR LYR	2453520.4972	7.3	ZSI	
U SGR	2453520.4986	7	ZSI	
Y SGR	2453520.5000	5.4	ZSI	
RZ CAS	2453520.5014	6.3	ZSI	
SU CAS	2453520.5021	6.2	ZSI	
TV CAS	2453520.5028	7.3	ZSI	
TU CAS	2453520.5035	8.1	ZSI	
EE PEG	2453520.5069	6.8	ZSI	
AG PEG	2453520.5073	8.6	ZSI	
T HER	2453520.5104	8.2	ZSI	
KP DEL	2453520.5118	8.9	ZSI	
GO CYG	2453520.5132	8.5	ZSI	
ZZ BOO	2453542.3556	6.9	ZSI	M
R CRB	2453542.3563	5.9	ZSI	M
DELTA LIB	2453542.3569	4.9	ZSI	M
AI DRA	2453542.3576	7.2	ZSI	M
AF CYG	2453542.3604	6.7	ZSI	M
CH CYG	2453542.3611	8.1	ZSI	M
R CYG	2453542.3632	8.5	ZSI	M
RT CYG	2453542.3639	7.8	ZSI	M
V1070 CYG	2453542.3674	7.5	ZSI	M
CHI CYG	2453542.3694	5.4	ZSI	M
V449 CYG	2453542.3701	7.8	ZSI	M
X CYG	2453542.3722	6.9	ZSI	M
V568 CYG	2453542.3729	6.5	ZSI	M
GO CYG	2453542.3736	8.5	ZSI	M
Y CYG	2453542.3743	7.1	ZSI	
V367 CYG	2453542.3750	7.5	ZSI	M
W CYG	2453542.3785	6.2	ZSI	M
V1339 CYG	2453542.3792	6.5	ZSI	M
AR LAC	2453542.3833	6.9	ZSI	M
NSV 25832	2453542.3847	9	ZSI	M
P CYG	2453542.3861	4.7	ZSI	M
RS CYG	2453542.3875	7.6	ZSI	M
MY CYG	2453542.3924	8.4	ZSI	M
V382 CYG	2453542.3938	8.4	ZSI	M
AR LAC	2453542.3972	6.8	ZSI	M
R LYR	2453542.3986	4.6	ZSI	M
BETA LYR	2453542.3993	3.5	ZSI	M
GO CYG	2453542.4007	8.4	ZSI	M
T CYG	2453542.4021	4.9	ZSI	M
U CRB	2453542.4042	7.6	ZSI	M
Z UMA	2453542.4063	7.7	ZSI	M
T UMA	2453542.4097	8.6	ZSI	M
T CEP	2453542.4111	9	ZSI	M
S CEP	2453542.4132	8.9	ZSI	M
DELTA CEP	2453542.4139	3.6	ZSI	M
AR LAC	2453542.4167	6.8	ZSI	M
Z LAC	2453542.4194	8.8	ZSI	M
X LAC	2453542.4201	8.6	ZSI	M
V LAC	2453542.4208	9.1	ZSI	M
RR LYR	2453542.4222	8	ZSI	M
GO CYG	2453542.4229	8.5	ZSI	M
Z VUL	2453542.4236	7.3	ZSI	M
T VUL	2453542.4250	6.2	ZSI	M
V VUL	2453542.4257	8.3	ZSI	M
