GWIAZDA	jd	mag	idobs	kom
ETA AQL	2453263.3299	4.3	ZSI	
AI DRA	2453263.3306	7.3	ZSI	
Z LAC	2453263.3347	8.8	ZSI	
P CYG	2453263.3382	5.2	ZSI	
SS CYG	2453265.2861	8.4	ZSI	
R SCT	2453265.2889	4.8	ZSI	
S EQU	2453265.2917	8	ZSI	
T VUL	2453265.2917	5.6	ZSI	
Z VUL	2453265.2938	7.3	ZSI	
RZ CAS	2453265.2944	6.3	ZSI	
SU CAS	2453265.2951	6.2	ZSI	
AI DRA	2453265.2993	7.1	ZSI	
ETA AQL	2453265.3035	3.6	ZSI	
BETA LYR	2453265.3042	3.6	ZSI	
TV CAS	2453265.3049	7.4	ZSI	
X HER	2453266.2833	6.7	ZSI	
AC HER	2453266.2847	7.6	ZSI	
AI DRA	2453266.2854	7.1	ZSI	
Z VUL	2453266.2868	7.3	ZSI	
X CYG	2453266.2875	7	ZSI	
T VUL	2453266.2931	6	ZSI	
S EQU	2453266.2938	8	ZSI	
SS CYG	2453266.2944	8.5	ZSI	
TV CAS	2453266.2958	7.2	ZSI	
TU CAS	2453266.2972	8.1	ZSI	
RZ CAS	2453266.2979	6.3	ZSI	
SU CAS	2453266.2986	6.1	ZSI	
DELTA CEP	2453266.2993	4.2	ZSI	
V367 CYG	2453266.3000	7.1	ZSI	
VV CEP	2453266.3007	5.4	ZSI	
Z LAC	2453266.3042	8.4	ZSI	
X LAC	2453266.3063	8.7	ZSI	
ETA AQL	2453266.3076	3.6	ZSI	
BETA LYR	2453266.3083	3.7	ZSI	
EG AND	2453266.3097	7.5	ZSI	
BETA PER	2453266.3111	2.1	ZSI	
R SCT	2453283.2632	5	ZSI	
AC HER	2453283.2674	7.7	ZSI	
DELTA CEP	2453283.2688	4	ZSI	
T CEP	2453283.2715	5.8	ZSI	
Z LAC	2453283.2757	9	ZSI	
X LAC	2453283.2771	8.3	ZSI	
Z VUL	2453283.2778	7.3	ZSI	
S EQU	2453283.2785	8.1	ZSI	
X SGE	2453283.2819	8.6	ZSI	
T VUL	2453283.2833	5.8	ZSI	
U DEL	2453283.2854	6.8	ZSI	
EU DEL	2453283.2868	6.3	ZSI	
KP DEL	2453283.2882	8.4	ZSI	
S DEL	2453283.2896	8.6	ZSI	
V568 CYG	2453283.2924	6.7	ZSI	
V367 CYG	2453283.2931	7.1	ZSI	
X CYG	2453283.2931	7.1	ZSI	
R LYR	2453283.2972	4.4	ZSI	
BETA LYR	2453283.2979	3.5	ZSI	
ETA AQL	2453283.2986	3.9	ZSI	
VV CEP	2453283.3000	5.3	ZSI	
MIU CEP	2453283.3014	3.9	ZSI	
AI DRA	2453283.3042	7.1	ZSI	
W CYG	2453283.3056	5.9	ZSI	
V1339 CYG	2453283.3069	6.5	ZSI	
CH CYG	2453283.3118	8.1	ZSI	
AF CYG	2453283.3139	7.7	ZSI	
BETA PER	2453283.3146	2.1	ZSI	
TV CAS	2453283.3174	7.3	ZSI	
TU CAS	2453283.3201	8.2	ZSI	
RZ CAS	2453283.3208	6.4	ZSI	
SU CAS	2453283.3215	6.2	ZSI	
EG AND	2453283.3243	7.3	ZSI	
BU TAU	2453283.3292	5.2	ZSI	
X HER	2453284.3347	6.5	ZSI	
RR CRB	2453284.3368	8.1	ZSI	
AI DRA	2453284.3396	7.1	ZSI	
X CYG	2453284.3424	6.3	ZSI	
DELTA CEP	2453284.3549	3.9	ZSI	
TU CAS	2453284.3569	8.3	ZSI	
TV CAS	2453284.3576	7.4	ZSI	
RZ CAS	2453284.3583	6.3	ZSI	
SU CAS	2453284.3590	6.3	ZSI	
U VUL	2453284.3660	7.6	ZSI	
T VUL	2453284.3681	5.9	ZSI	
Z VUL	2453284.3694	7.3	ZSI	
BETA PER	2453284.3771	2.1	ZSI	
ETA AQL	2453285.2646	4.1	ZSI	
RR LYR	2453285.2674	7.6	ZSI	
RS VUL	2453285.2708	6.9	ZSI	
Z VUL	2453285.2736	7.9	ZSI	
T VUL	2453285.2757	6	ZSI	
S EQU	2453285.2771	8.1	ZSI	
U VUL	2453285.2785	7.5	ZSI	
S SGE	2453285.2813	5.3	ZSI	
AI DRA	2453285.2826	7.1	ZSI	
X CYG	2453285.2847	6.2	ZSI	
V367 CYG	2453285.2868	7.5	ZSI	
BETA LYR	2453285.2875	3.6	ZSI	
BETA PER	2453285.2882	2.1	ZSI	
DELTA CEP	2453285.2903	3.5	ZSI	
P CYG	2453285.2924	4.9	ZSI	
RZ CAS	2453285.2931	6.3	ZSI	
TV CAS	2453285.2938	7.3	ZSI	
SU CAS	2453285.2938	5.9	ZSI	
TU CAS	2453285.2972	8	ZSI	
Z VUL	2453285.3000	7.9	ZSI	
Z LAC	2453285.3028	8.8	ZSI	
X LAC	2453285.3042	8.2	ZSI	
GAMMA CAS	2453285.3063	2.2	ZSI	
BETA PEG	2453285.3069	2.4	ZSI	
EE PEG	2453285.3111	6.9	ZSI	
TV PSC	2453285.3139	5	ZSI	
RHO PER	2453285.3194	3.5	ZSI	
RHO CAS	2453285.3208	4.5	ZSI	
Z VUL	2453285.3264	7.5	ZSI	
BETA PER	2453287.2319	2.1	ZSI	
ETA AQL	2453287.2326	3.8	ZSI	
BETA PER	2453288.2778	2.1	ZSI	
RZ CAS	2453288.2917	6.3	ZSI	
SU CAS	2453288.2924	6.2	ZSI	
R SCT	2453290.2375	5.5	ZSI	
BETA LYR	2453290.2389	3.7	ZSI	
R LYR	2453290.2396	4.5	ZSI	
AC HER	2453290.2410	7.7	ZSI	
AI DRA	2453290.2417	7.1	ZSI	
TV CAS	2453290.2438	7.4	ZSI	
Z VUL	2453290.2451	7.2	ZSI	
RS VUL	2453290.2465	6.8	ZSI	
S SGE	2453290.2479	5.3	ZSI	
S EQU	2453290.2493	8	ZSI	
DELTA CEP	2453290.2507	3.6	ZSI	
T CEP	2453290.2521	5.6	ZSI	
U VUL	2453290.2542	6.9	ZSI	
T VUL	2453290.2549	5.3	ZSI	
X CYG	2453290.2569	6.5	ZSI	
BETA LYR	2453291.2389	3.5	ZSI	
ETA AQL	2453291.2417	4.1	ZSI	
BETA PER	2453291.2431	2.1	ZSI	
X HER	2453291.2458	6.3	ZSI	
AI DRA	2453291.2465	7.2	ZSI	
R SCT	2453291.2472	5.5	ZSI	
Z VUL	2453291.2493	7.4	ZSI	
RS VUL	2453291.2500	6.9	ZSI	
U VUL	2453291.2514	7.6	ZSI	
S SGE	2453291.2528	5.3	ZSI	
X SGE	2453291.2535	8.5	ZSI	
S EQU	2453291.2549	8	ZSI	
U DEL	2453291.2618	6.5	ZSI	
EU DEL	2453291.2625	6.6	ZSI	
KP DEL	2453291.2653	8.9	ZSI	
S DEL	2453291.2660	9	ZSI	
Z LAC	2453291.2694	8.8	ZSI	
X LAC	2453291.2708	8.5	ZSI	
V LAC	2453291.2722	9.2	ZSI	
T VUL	2453291.2750	5.8	ZSI	
RR LYR	2453291.2771	8.1	ZSI	
X CYG	2453291.2799	6.5	ZSI	
V568 CYG	2453291.2813	6.8	ZSI	
V367 CYG	2453291.2826	7.3	ZSI	
DELTA CEP	2453291.2840	3.7	ZSI	
VV CEP	2453291.2847	5.4	ZSI	
TV CAS	2453291.2868	7.3	ZSI	
TU CAS	2453291.2882	7.6	ZSI	
RZ CAS	2453291.2889	6.3	ZSI	
SU CAS	2453291.2896	6.1	ZSI	
EG AND	2453291.2910	7.5	ZSI	
W CYG	2453291.2931	6.1	ZSI	
V1339 CYG	2453291.2951	6.4	ZSI	
P CYG	2453291.2965	4.9	ZSI	
RS CYG	2453291.2993	7.6	ZSI	
CH CYG	2453291.3021	7.9	ZSI	
AF CYG	2453291.3042	7.8	ZSI	
EE PEG	2453291.3063	6.8	ZSI	
TV PSC	2453291.3076	5.2	ZSI	
XZ CEP	2453291.3125	8.4	ZSI	
BETA PEG	2453291.3160	2.5	ZSI	
ETA AQL	2453292.2333	4.2	ZSI	
BETA LYR	2453292.2354	3.8	ZSI	
AI DRA	2453292.2361	7.2	ZSI	
DELTA CEP	2453292.2375	4	ZSI	
Z LAC	2453292.2389	8.9	ZSI	
X LAC	2453292.2403	8.4	ZSI	
V LAC	2453292.2417	9	ZSI	
T CEP	2453292.2479	5.4	ZSI	
S SCT	2453292.2507	7.4	ZSI	
Z VUL	2453292.2514	7.3	ZSI	
S EQU	2453292.2528	8	ZSI	
U VUL	2453292.2549	7.3	ZSI	
RS VUL	2453292.2563	6.7	ZSI	
S SGE	2453292.2576	5.5	ZSI	
T VUL	2453292.2597	5.7	ZSI	
RR LYR	2453292.2625	7.8	ZSI	
X CYG	2453292.2646	7	ZSI	
XZ CEP	2453292.2674	8.3	ZSI	
RHO PER	2453292.2694	3.3	ZSI	
BETA PER	2453292.2701	2.1	ZSI	
TV CAS	2453292.2708	7.3	ZSI	
